Page Number,Year Collected,Date Processed,Team,Bag ID,Jar Number,Total Sample Weight,Bag Weight,Organic Material,Rock Weight,Wet Soil Weight,Dry Soil Weight,Dry Coarse Sand Weight,% sand by weight,Initial Volume,Final Volume,Rock Volume,Soil Water Content,Soil Bulk Density,Volumteric Water Content,Soil Water-filled Pore Space,Soil Porosity,Soil Volume,Notes,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
,,,,,,,,,,0,,,#DIV/0!,,,0,#DIV/0!,0,#DIV/0!,#DIV/0!,1,137.41,,
